,促销销售金额,非促销销售金额
一次性用品,70.9,727.3
不锈钢餐具,0.0,37.0
个人卫生用品,0.0,47.199999999999996
中式熟菜,0.0,477.45
乳饮料,673.4999999999999,1972.4000000000003
五谷杂粮,2935.720000000002,9788.849999999973
保养用品,77.3,1753.4000000000015
保温容器,117.9,28.0
保鲜用品,26.700000000000003,429.9
其他国产酒,0.0,586.0
其它加工,0.0,455.53
冰品,0.0,73.5
冰鲜水产,0.0,1528.0299999999995
冲调食品,2462.500000000001,3300.6000000000013
冲饮品,46.40000000000001,640.8999999999995
冷冻包子馒头,75.60000000000002,367.90000000000003
冷冻水产,0.0,816.7399999999999
冷冻水饺,263.0,1583.0
冷冻汤圆,184.1000000000001,546.9
冷冻火锅类,547.4899999999999,1083.3299999999995
冷冻点心,266.90000000000003,854.1
冷冻蔬菜肉品,17.9,125.3
冷冻馄饨,0.0,126.19999999999999
冷藏乳品,5517.899999999983,5766.499999999992
冷藏奶油芝士,0.0,456.8000000000001
冷藏料理,1785.2,952.2999999999997
冷藏肉制品,844.799999999999,2844.000000000006
冷藏豆制类,5.8,56.50000000000001
净水,2.5,755.1999999999995
凉拌熟食,0.0,2235.6299999999983
刮胡用品,19.9,47.0
剃须护理用品,29.9,251.10000000000002
办公配件,0.0,29.3
加工水产,0.0,128.25
加工肉类,0.0,257.85
加工豆类,0.0,2432.640000000001
包装材料,0.0,10.299999999999999
化妆品,0.0,134.3
南北干货,878.4899999999991,3694.7500000000073
卤制熟食,0.0,1953.539999999999
卫浴用品,23.9,357.8
卫生巾,1304.5000000000016,3297.100000000009
即食制品,0.0,118.6
即食熟制品,662.0899999999996,5126.119999999997
厨房整理,9.8,233.0
厨房清洁,37.7,474.6
口腔卫生用品,761.3999999999992,3974.000000000015
口香糖,117.79999999999998,2148.200000000007
咖啡,171.3,794.7999999999994
啤酒,341.7999999999999,2110.000000000001
国产白酒,8816.5,11698.99999999999
地垫类,154.80000000000004,15.0
塑料餐具,19.9,224.9
外送面包糕点,925.399999999999,668.16
女上装,243.3,0.0
女下装,149.6,0.0
女内衣裤,60.6,732.3
女孩玩具,49.0,62.0
女袜,62.29999999999999,355.29999999999995
女鞋,34.8,0.0
奶粉,185.8,1556.9000000000005
娱乐玩具,0.0,280.59999999999997
婴儿系列用品,0.0,276.5
婴幼儿用品,14.8,704.3999999999996
季节性电器,25.0,76.0
学生用品,0.0,229.89999999999998
室内清洁剂,39.6,73.9
家事收纳,0.0,206.0
密胺餐具,0.0,48.5
小型健身器材,0.0,6.7
工具,0.0,123.0
巧克力,566.42,4081.2600000000048
常温乳品,24837.49999999997,13753.400000000005
常温肉制品,2334.000000000007,1685.4000000000003
干货水产,0.0,417.98000000000013
床品单/套件,302.09999999999997,0.0
微波食品,0.0,20.6
打扫用品,186.00000000000003,1030.6999999999998
拖鞋,186.10000000000002,272.90000000000003
文胸,0.0,58.0
料理切具,55.3,544.5
无糖食品,228.9,3793.4300000000003
服饰饰品,74.8,101.9
本类,0.0,103.39999999999998
杀虫用品,0.0,151.0
枕/靠/坐垫,47.5,70.0
果冻,88.1,1057.0399999999981
果汁饮料,556.8999999999999,3772.700000000003
桌上用品,27.700000000000003,109.5
档案用品,0.0,34.900000000000006
桶杯装速食面,95.69999999999999,601.7999999999997
毛巾,63.400000000000006,389.99999999999994
毯子,287.59999999999997,109.0
水果,0.0,44172.9300000001
汽车用品,0.0,8.0
洗护发用品,856.6999999999998,4015.5000000000086
洗浴用品,156.00000000000003,1128.5999999999992
洗衣用品,2668.2000000000057,2661.6000000000067
浴厕厨清洁剂,364.49999999999983,1369.2000000000014
浴巾/袍,0.0,50.0
液体调料,1457.5999999999995,5481.699999999991
滋补营养品,372.0,1602.6
灯具光源,0.0,189.0
炒货,2834.300000000005,6013.679999999989
炒锅,0.0,229.0
煮锅,0.0,49.0
煮食面/粉,264.1200000000003,2250.4200000000033
牛肉,0.0,1243.3999999999999
猪肉,0.0,19779.00000000001
现制中式糕点,0.0,0.6
现制中式面点,0.0,1273.3199999999997
现制西式糕点,0.0,110.30000000000001
玻璃器皿,7.8,167.0
球类配件,18.9,58.6
生活电器,0.0,69.0
电器配件,0.0,164.4
电池配件,0.0,184.6
男内衣裤,177.60000000000002,693.7
男孩玩具,0.0,87.7
男袜,33.6,344.29999999999995
男鞋,34.8,0.0
益智玩具,0.0,149.4
盐/糖,50.4,2451.8000000000015
碳酸饮料,87.6,778.999999999999
童内衣裤,0.0,145.3
童袜,7.9,28.0
童装,49.9,0.0
笔类,2.9,323.7
粘合用品,27.6,193.0
糕点,7656.3299999999845,5735.159999999993
糖果,680.8199999999997,4327.360000000003
纯果汁,510.19999999999953,459.4
纸制品,8384.699999999913,2037.700000000007
纸尿裤,0.0,1291.6000000000004
罐头,492.8999999999998,3544.200000000005
美术用品,12.0,331.6000000000001
肉禽原料,0.0,95.49000000000001
胶水胶带,0.0,92.0
腌腊制品,0.0,261.52000000000004
膨化点心,4521.959999999997,5844.760000000001
节庆饰品,66.4,21.0
芳香防霉剂,7.9,127.20000000000003
茶叶,0.0,371.7999999999999
茶饮料,46.099999999999994,202.30000000000004
葡萄/果酒,153.0,2200.9000000000015
蔬菜,0.0,34321.94999999993
蛋类,131.8,13265.91999999999
蜂蜜/面包酱,979.1999999999998,1419.2000000000003
蜜饯,1350.1599999999996,3730.5600000000086
袋装速食面,36.9,671.6
袋装速食面组,546.8999999999997,2759.8
计生用品,0.0,263.5
调味料,76.10000000000001,2742.1500000000106
调味油,59.49999999999999,833.099999999999
调味酱,286.3,3380.5000000000077
豆奶,0.0,16.2
运动机能饮料,182.7,732.5999999999996
进口酒,712.7999999999996,1181.199999999999
进口食品,51.0,899.8999999999995
进口饮料,21.0,426.79999999999995
酒类礼盒,99.0,0.0
酱菜类,155.4000000000001,2271.9500000000053
陶瓷餐具,0.0,109.5
雨具/鞋,0.0,284.9
鞋类护理用品,12.9,175.20000000000002
鞋配件,0.0,37.9
食用油,7950.29999999999,5018.599999999998
饮水机,0.0,79.0
饼干,2844.420000000008,9823.529999999944
香/烛,9.9,56.0
香烟,0.0,15132.0
鸡产品,0.0,3296.440000000001
鸭产品,0.0,263.96999999999997
黄酒,0.0,531.6
