顾客编号,1月销售总额,1月消费天数,2月销售总额,2月消费天数,3月销售总额,3月消费天数,4月销售总额,4月消费天数
0,11.05,1.0,0.0,0.0,0.0,0.0,13.6,1.0
1,12.299999999999999,1.0,30.299999999999997,1.0,0.0,0.0,0.0,0.0
2,48.7,2.0,30.0,1.0,0.0,0.0,0.0,0.0
3,67.39,3.0,360.97,4.0,68.86999999999999,7.0,49.28,4.0
4,27.900000000000002,1.0,0.0,0.0,0.0,0.0,154.94000000000003,2.0
5,57.599999999999994,2.0,0.0,0.0,33.5,1.0,48.34,2.0
6,23.990000000000002,1.0,65.67,1.0,11.5,1.0,49.14,3.0
7,138.37,2.0,0.0,0.0,61.489999999999995,1.0,52.07,2.0
8,190.49,4.0,0.0,0.0,111.85000000000001,4.0,74.72000000000001,1.0
9,80.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220.63000000000002,2.0,0.0,0.0,117.03,2.0,0.0,0.0
11,50.300000000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,677.8900000000002,17.0,531.9499999999998,4.0,391.52,16.0,236.82999999999998,8.0
13,158.29999999999995,4.0,9.7,1.0,160.72000000000003,5.0,314.13999999999993,8.0
14,298.21999999999997,6.0,0.0,0.0,0.0,0.0,0.0,0.0
15,313.87999999999994,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16,139.99000000000004,4.0,246.10000000000002,1.0,0.0,0.0,0.0,0.0
17,240.76999999999995,7.0,258.85,4.0,45.019999999999996,2.0,52.8,2.0
18,32.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,223.06,3.0,0.0,0.0,0.0,0.0,42.900000000000006,1.0
20,117.78000000000002,4.0,122.24000000000001,4.0,24.21,2.0,131.35999999999999,4.0
21,74.66,2.0,111.1,1.0,47.76,1.0,13.879999999999999,1.0
22,93.78999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,16.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,178.1299999999999,11.0,144.58,7.0,353.81999999999994,13.0,177.28,6.0
25,38.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,184.39000000000001,3.0,59.7,2.0,0.0,0.0,0.0,0.0
27,81.59,2.0,0.0,0.0,0.0,0.0,0.0,0.0
28,13.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,20.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,53.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,173.08000000000004,3.0,59.5,2.0,176.26000000000005,4.0,195.03,3.0
32,415.03999999999985,9.0,382.5200000000001,6.0,175.76000000000005,3.0,203.84,4.0
33,219.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,217.61000000000004,8.0,190.10000000000005,7.0,308.69999999999993,11.0,242.20000000000005,5.0
35,80.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,42.72,1.0,0.0,0.0,0.0,0.0,144.10000000000002,1.0
37,102.75999999999999,4.0,283.9,4.0,0.0,0.0,21.6,1.0
38,234.45000000000002,4.0,145.35000000000002,4.0,0.0,0.0,95.02000000000002,2.0
39,155.79999999999998,7.0,45.36,6.0,230.09000000000012,10.0,69.17999999999999,4.0
40,32.65,2.0,303.85,1.0,0.0,0.0,0.0,0.0
41,38.43,2.0,40.13,1.0,0.0,0.0,0.0,0.0
42,27.650000000000002,1.0,0.0,0.0,0.0,0.0,96.81,1.0
43,55.8,1.0,48.83,2.0,0.0,0.0,113.2,3.0
44,100.70000000000003,3.0,59.88,1.0,29.82,1.0,0.0,0.0
45,12.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,88.66,2.0,12.46,1.0,60.63,2.0,89.93,4.0
47,550.65,20.0,39.29,2.0,440.67999999999995,13.0,301.64,10.0
48,3.4299999999999997,1.0,0.0,0.0,17.75,1.0,0.0,0.0
49,253.12000000000006,5.0,0.0,0.0,206.81000000000003,2.0,146.16,2.0
50,51.8,1.0,17.5,1.0,0.0,0.0,24.599999999999998,1.0
51,519.7199999999999,17.0,126.81000000000002,5.0,73.58,5.0,187.99000000000004,11.0
52,307.27000000000004,9.0,2025.0800000000006,18.0,381.50999999999993,13.0,875.2899999999997,11.0
53,35.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,99.84,2.0,0.0,0.0,28.78,1.0,139.10000000000002,3.0
56,103.02000000000002,6.0,18.3,2.0,214.56,3.0,26.270000000000003,2.0
57,61.3,1.0,76.24999999999999,4.0,25.45,1.0,33.3,1.0
58,126.89999999999998,3.0,0.0,0.0,0.0,0.0,118.93,3.0
59,13.84,2.0,0.0,0.0,0.0,0.0,0.0,0.0
60,45.73,2.0,31.6,1.0,0.0,0.0,97.11000000000003,3.0
61,75.51,5.0,196.88,5.0,67.25999999999999,4.0,290.16999999999996,4.0
62,296.12,6.0,0.0,0.0,0.0,0.0,100.65,4.0
63,35.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0
64,232.22000000000006,5.0,72.66000000000001,3.0,104.01000000000002,1.0,45.5,1.0
65,23.15,1.0,0.0,0.0,32.1,1.0,0.0,0.0
66,141.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,6.8,1.0,0.0,0.0,0.0,0.0,127.5,2.0
68,195.39000000000007,2.0,149.3,1.0,60.22,1.0,180.32000000000002,4.0
69,88.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,149.89000000000001,6.0,73.7,3.0,74.57000000000001,3.0,11.07,1.0
71,173.30999999999995,3.0,11.149999999999999,1.0,0.0,0.0,0.0,0.0
72,739.53,5.0,196.0,1.0,0.0,0.0,0.0,0.0
73,352.8,6.0,296.3500000000001,3.0,208.95000000000002,3.0,239.29000000000005,5.0
74,664.8099999999997,8.0,137.30000000000004,2.0,316.8,2.0,541.4599999999999,4.0
75,157.10000000000002,7.0,19.64,1.0,181.15000000000003,5.0,214.86999999999998,5.0
76,246.99,7.0,31.799999999999997,1.0,0.0,0.0,74.84,2.0
77,100.9,1.0,0.0,0.0,12.4,1.0,0.0,0.0
78,338.93,5.0,503.51,6.0,59.47,2.0,21.19,1.0
